Shamiri_ID,I enjoy reading.,I enjoy teaching.,Arts-based activities can promote learning within classrooms.,Arts-based activities can make teaching more enjoyable.,Student mental health/wellbeing is necessary for efficient teaching-learning processes.,Teacher mental health/wellbeing is necessary for efficient teaching-learning processes.,,Participating in Pre-Texts can improve one's mental wellbeing.,Participating in Pre-Texts can improve one's creativity.,participating in Pre-Texts can improve one's literacy.,"Pre-Texts activities can be used to promote teaching-learning processes within classrooms for subjects like Kiswahili, English, History, Geography etc.","Pre-Texts activities can be used to promote teaching-learning processes within classrooms for subjects like Physics, Maths, Chemistry etc."
Pretext_006,7,7,6,7,7,6,,6,7,7,7,6
Pretext_007,7,6,7,7,7,7,,6,7,7,7,5
Pretext_027,7,7,7,7,7,7,,7,7,7,7,7
Pretext_005,5,7,7,7,7,7,,5,6,7,7,5
Pretext_022,3,7,6,7,6,7,,6,6,7,7,6
Pretext_021,5,6,7,7,7,7,,7,7,7,7,7
Pretext_017,5,7,7,7,7,7,,7,7,5,6,5
Pretext_014,7,7,6,,6,5,,7,7,6,6,7
Pretext_008,7,7,7,7,7,7,,7,7,7,7,7
Pretext_019,7,6,7,7,7,7,,7,7,7,7,5
Pretext_015,3,7,7,,,,,7,6,7,7,6
Pretext_025,7,7,7,7,7,7,,7,7,7,7,7
Pretext_018,7,7,7,7,7,7,,7,7,7,7,7
Pretext_011,7,7,7,7,7,7,,7,7,7,7,5
Pretext_010,7,7,6,6,7,7,,7,7,7,7,6
Pretext_004,5,7,6,7,7,7,,6,7,7,5,5
Pretext_002,6,7,7,7,7,7,,7,7,7,7,7
Pretext_023,7,7,7,7,7,7,,6,6,6,6,5
Pretext_016,6,6,7,6,7,6,,6,6,7,7,6
Pretext_024,6,6,7,7,7,7,,7,7,7,6,7
Pretext_003,2,1,2,2,2,2,,7,6,1,7,1
Pretext_026,5,7,5,5,5,5,,5,5,5,5,5
Pretext_013,7,7,7,7,7,7,,7,7,7,7,7
Pretext_009,7,7,7,7,7,7,,6,6,7,6,
